seccion,domicilio,DireccionCompleta,location,lat,lon
356,"calle tungsteno, sin número, colonia san pedro 400, san pedro garza garcía, código postal 66210, san pedro garza garcía, nuevo león.","calle tungsteno, sin número, colonia san pedro 400, san pedro garza garcía, código postal 66210, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Tungsteno, San Pedro 400, 66210 San Pedro Garza García, N.L., Mexico",25.6870503,-100.4135458
357,"calle antimonio, número 422, colonia san pedro 400, san pedro garza garcía, código postal 66210, san pedro garza garcía, nuevo león.","calle antimonio, número 422, colonia san pedro 400, san pedro garza garcía, código postal 66210, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Antimonio 422, San Pedro 400, 66210 San Pedro Garza García, N.L., Mexico",25.6849664,-100.4129064
358,"calle uranio, número 606, colonia san pedro 400, san pedro garza garcía, código postal 66210, san pedro garza garcía, nuevo león.","calle uranio, número 606, colonia san pedro 400, san pedro garza garcía, código postal 66210, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","San Pedro 400, 66210 San Pedro Garza García, N.L., Mexico",25.6840829,-100.4129676
359,"calle plan de guadalupe, sin número, colonia revolución, san pedro garza garcía, código postal 66219, san pedro garza garcía, nuevo león.","calle plan de guadalupe, sin número, colonia revolución, san pedro garza garcía, código postal 66219, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Plan de Guadalupe, 66219 San Pedro Garza García, N.L., Mexico",25.6814268,-100.4089842
360,"calle nicéforo zambrano, sin número, colonia vista montaña, san pedro garza garcía, código postal 66216, san pedro garza garcía, nuevo león.","calle nicéforo zambrano, sin número, colonia vista montaña, san pedro garza garcía, código postal 66216, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","vista montaña Park, Virgilio Cárdenas 1401, Revolución 5o Sector, 66219 San Pedro Garza García, N.L., Mexico",25.6861536,-100.4106198
361,"calle alejandro vi, sin número, colonia el obispo, san pedro garza garcía, código postal 66214, san pedro garza garcía, nuevo león.","calle alejandro vi, sin número, colonia el obispo, san pedro garza garcía, código postal 66214, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Alejandro VI, Villa del Obispo, 66214 San Pedro Garza García, N.L., Mexico",25.6776213,-100.3982812
362,"calle corregidora, sin número, colonia el obispo, san pedro garza garcía, código postal 66214, san pedro garza garcía, nuevo león.","calle corregidora, sin número, colonia el obispo, san pedro garza garcía, código postal 66214, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Corregidora, El Obispo, San Pedro Garza García, N.L., Mexico",25.6792355,-100.4018496
363,"calle antonio díaz soto y gama, número 400, colonia vista montaña, san pedro garza garcía, código postal 66216, san pedro garza garcía, nuevo león.","calle antonio díaz soto y gama, número 400, colonia vista montaña, san pedro garza garcía, código postal 66216, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","C. Antonio Díaz Soto Gama, 64140 Monterrey, N.L., Mexico",25.7490091,-100.3526713
364,"calle josé vivanco norte, sin número, colonia vista montaña, san pedro garza garcía, código postal 66216, san pedro garza garcía, nuevo león.","calle josé vivanco norte, sin número, colonia vista montaña, san pedro garza garcía, código postal 66216, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","vista montaña Park, Virgilio Cárdenas 1401, Revolución 5o Sector, 66219 San Pedro Garza García, N.L., Mexico",25.6861536,-100.4106198
365,"calle felipe ángeles, sin número, colonia revolución, san pedro garza garcía, código postal 66219, san pedro garza garcía, nuevo león.","calle felipe ángeles, sin número, colonia revolución, san pedro garza garcía, código postal 66219, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Calle Felipe Angeles, 64390 Monterrey, N.L., Mexico",25.7030038,-100.3583232
